Replicate;Sample;Population size counted;Condition
1;1;470;20 degrees, Monday
2;1;442;
3;1;462;
4;1;475;
5;1;463;
6;1;483;
1;2;298;16 degrees, Monday
2;2;246;
3;2;281;
4;2;248;
5;2;250;
6;2;261;
1;3;197;20 degrees, Tuesday morning
2;3;213;
3;3;220;
4;3;227;
5;3;183;
6;3;203;
1;4;43;16 degrees, Tuesday morning
2;4;43;
3;4;46;
4;4;49;
5;4;45;
6;4;47;
1;5;174;20 degrees, Wednesday, Chunk
2;5;156;
3;5;170;
4;5;165;
5;5;174;
6;5;175;
1;6;55;16 degrees, Wednesday, Chunk
2;6;53;
3;6;62;
4;6;58;
5;6;62;
6;6;60;
1;7;450;20 degrees, Monday
2;7;415;
3;7;478;
4;7;499;
5;7;471;
6;7;440;
1;8;304;16 degrees, Monday
2;8;320;
3;8;295;
4;8;302;
5;8;287;
6;8;304;
1;9;166;20 degrees, Tuesday morning
2;9;170;
3;9;167;
4;9;166;
5;9;173;
6;9;171;
1;10;23;16 degrees, Tuesday morning
2;10;26;
3;10;28;
4;10;20;
5;10;27;
6;10;27;
1;11;289;20 degrees, Wednesday, Chunk
2;11;275;
3;11;260;
4;11;309;
5;11;286;
6;11;316;
1;12;25;16 degrees, Wednesday, Chunk
2;12;32;
3;12;29;
4;12;34;
5;12;36;
6;12;34;
