super_replicate,replicate,strain_no,strain,ethanol,broodsize,date,person_counting,comment,broodsize_nor
1,1,1,CB4856,0,471,21-10-2024,Rick,,1.1123247232472324
1,1,1,CB4856,0,433,21-10-2024,Rick,,1.0225830258302584
1,1,1,CB4856,0,494,21-10-2024,Rick,,1.1666420664206643
1,1,1,CB4856,100,383,21-10-2024,Rick,,0.9045018450184502
1,1,1,CB4856,100,359,21-10-2024,Rick,,0.8478228782287823
1,1,1,CB4856,100,387,21-10-2024,Rick,,0.9139483394833948
1,1,1,CB4856,200,333,21-10-2024,Rick,,0.786420664206642
1,1,1,CB4856,200,321,21-10-2024,Rick,,0.7580811808118081
1,1,1,CB4856,200,373,21-10-2024,Rick,,0.8808856088560886
1,1,1,CB4856,300,268,21-10-2024,Rick,,0.6329151291512916
1,1,1,CB4856,300,255,21-10-2024,Rick,,0.60221402214022135
1,1,1,CB4856,300,251,21-10-2024,Rick,,0.5927675276752767
1,1,1,CB4856,400,149,21-10-2024,Rick,Mold infection ,0.3518819188191882
1,1,1,CB4856,400,119,21-10-2024,Rick,Mold infection ,0.2810332103321033
1,1,1,CB4856,400,300,21-10-2024,Rick,Mold infection ,0.7084870848708487
1,1,2,DL238,0,474,21-10-2024,Rick,,1.3383529411764705
1,1,2,DL238,0,436,21-10-2024,Rick,,1.2310588235294118
1,1,2,DL238,0,453,21-10-2024,Rick,,1.2790588235294118
1,1,2,DL238,100,143,21-10-2024,Rick,,0.4037647058823529
1,1,2,DL238,100,421,21-10-2024,Rick,,1.188705882352941
1,1,2,DL238,100,411,21-10-2024,Rick,,1.1604705882352941
1,1,2,DL238,200,301,21-10-2024,Rick,,0.8498823529411764
1,1,2,DL238,200,365,21-10-2024,Rick,,1.0305882352941176
1,1,2,DL238,200,363,21-10-2024,Rick,,1.0249411764705882
1,1,2,DL238,300,261,21-10-2024,Rick,,0.7369411764705882
1,1,2,DL238,300,237,21-10-2024,Rick,,0.6691764705882353
1,1,2,DL238,300,144,21-10-2024,Rick,,0.40658823529411764
1,1,2,DL238,400,229,21-10-2024,Rick,Mold infection,0.6465882352941176
1,1,2,DL238,400,196,21-10-2024,Rick,Mold infection ,0.5534117647058823
1,1,2,DL238,400,139,21-10-2024,Rick,Mold infection ,0.39247058823529407
1,1,3,ECA36,0,181,21-10-2024,Rick,,1.0892678034102308
1,1,3,ECA36,0,168,21-10-2024,Rick,,1.0110330992978938
