super_replicate;replicate;strain_no;strain;ethanol;broodsize;date;person_counting;comment
1;1;1;CB4856;0;471;21-10-2024;Rick;
1;1;1;CB4856;0;433;21-10-2024;Rick;
1;1;1;CB4856;0;494;21-10-2024;Rick;
1;1;1;CB4856;100;383;21-10-2024;Rick;
1;1;1;CB4856;100;359;21-10-2024;Rick;
1;1;1;CB4856;100;387;21-10-2024;Rick;
1;1;1;CB4856;200;333;21-10-2024;Rick;
1;1;1;CB4856;200;321;21-10-2024;Rick;
1;1;1;CB4856;200;373;21-10-2024;Rick;
1;1;1;CB4856;300;268;21-10-2024;Rick;
1;1;1;CB4856;300;255;21-10-2024;Rick;
1;1;1;CB4856;300;251;21-10-2024;Rick;
1;1;1;CB4856;400;149;21-10-2024;Rick;Bacterial infection 
1;1;1;CB4856;400;119;21-10-2024;Rick;Bacterial infection 
1;1;1;CB4856;400;300;21-10-2024;Rick;Bacterial infection 
1;1;2;DL238;0;474;21-10-2024;Rick;
1;1;2;DL238;0;436;21-10-2024;Rick;
1;1;2;DL238;0;453;21-10-2024;Rick;
1;1;2;DL238;100;143;21-10-2024;Rick;
1;1;2;DL238;100;421;21-10-2024;Rick;
1;1;2;DL238;100;411;21-10-2024;Rick;
1;1;2;DL238;200;301;21-10-2024;Rick;
1;1;2;DL238;200;365;21-10-2024;Rick;
1;1;2;DL238;200;363;21-10-2024;Rick;
1;1;2;DL238;300;261;21-10-2024;Rick;
1;1;2;DL238;300;237;21-10-2024;Rick;
1;1;2;DL238;300;144;21-10-2024;Rick;
1;1;2;DL238;400;229;21-10-2024;Rick;Bacterial infection
1;1;2;DL238;400;196;21-10-2024;Rick;Bacterial infection 
1;1;2;DL238;400;139;21-10-2024;Rick;Bacterial infection 
1;1;3;ECA36;0;181;21-10-2024;Rick;
1;1;3;ECA36;0;168;21-10-2024;Rick;
1;1;3;ECA36;0;361;21-10-2024;Rick;
1;1;3;ECA36;100;2;21-10-2024;Rick;
1;1;3;ECA36;100;2;21-10-2024;Rick;
1;1;3;ECA36;100;2;21-10-2024;Rick;
1;1;3;ECA36;200;0;21-10-2024;Rick;
1;1;3;ECA36;200;80;21-10-2024;Rick;
1;1;3;ECA36;200;107;21-10-2024;Rick;
1;1;3;ECA36;300;2;21-10-2024;Rick;
1;1;3;ECA36;300;2;21-10-2024;Rick;
1;1;3;ECA36;300;2;21-10-2024;Rick;Bacterial infection 
1;1;3;ECA36;400;19;21-10-2024;Rick;Bacterial infection 
1;1;3;ECA36;400;2;21-10-2024;Rick;Bacterial infection 
1;1;3;ECA36;400;10;21-10-2024;Rick;
1;1;4;ECA396;0;415;21-10-2024;Lisa;
1;1;4;ECA396;0;333;21-10-2024;Lisa;
1;1;4;ECA396;0;321;21-10-2024;Lisa;
1;1;4;ECA396;100;358;21-10-2024;Lisa;
1;1;4;ECA396;100;439;21-10-2024;Lisa;
1;1;4;ECA396;100;325;21-10-2024;Lisa;
1;1;4;ECA396;200;308;21-10-2024;Lisa;
1;1;4;ECA396;200;159;21-10-2024;Lisa;
1;1;4;ECA396;200;257;21-10-2024;Lisa;
1;1;4;ECA396;300;270;21-10-2024;Lisa;
1;1;4;ECA396;300;264;21-10-2024;Lisa;
1;1;4;ECA396;300;269;21-10-2024;Lisa;
1;1;4;ECA396;400;44;21-10-2024;Lisa;Bacterial infection
1;1;4;ECA396;400;16;21-10-2024;Lisa;Bacterial infection
1;1;4;ECA396;400;38;21-10-2024;Lisa;Bacterial infection
1;1;5;EG4725;0;188;21-10-2024;Rick;
1;1;5;EG4725;0;351;21-10-2024;Rick;
